Target,Serializer,Method,NumMessages,NumThreads,Timestamp,Requests
Mixed,CapnProto,Serialize,0,0,1699229774752,1
Mixed,CapnProto,Deserialize,0,0,1699229774752,1
Mixed,CapnProto,SerializeAndDeserialize,0,0,1699229774752,1
Mixed,CapnProto,Serialize,0,0,1699229775746,0
Mixed,CapnProto,Deserialize,0,0,1699229775746,0
Mixed,CapnProto,SerializeAndDeserialize,0,0,1699229775746,0
Mixed,CapnProto,Serialize,0,0,1699229776757,0
Mixed,CapnProto,Deserialize,0,0,1699229776757,0
Mixed,CapnProto,SerializeAndDeserialize,0,0,1699229776757,0
Mixed,CapnProto,Serialize,0,0,1699229777751,0
Mixed,CapnProto,Deserialize,0,0,1699229777751,0
Mixed,CapnProto,SerializeAndDeserialize,0,0,1699229777751,0
Mixed,CapnProto,Serialize,0,0,1699229778757,0
Mixed,CapnProto,Deserialize,0,0,1699229778757,0
Mixed,CapnProto,SerializeAndDeserialize,0,0,1699229778757,0
Mixed,CapnProto,Serialize,0,0,1699229779746,0
Mixed,CapnProto,Deserialize,0,0,1699229779746,0
Mixed,CapnProto,SerializeAndDeserialize,0,0,1699229779746,0
Mixed,CapnProto,Serialize,0,0,1699229780754,0
Mixed,CapnProto,Deserialize,0,0,1699229780754,0
Mixed,CapnProto,SerializeAndDeserialize,0,0,1699229780754,0
Mixed,CapnProto,Serialize,0,0,1699229781747,0
Mixed,CapnProto,Deserialize,0,0,1699229781747,0
Mixed,CapnProto,SerializeAndDeserialize,0,0,1699229781747,0
Mixed,CapnProto,Serialize,0,0,1699229782751,0
Mixed,CapnProto,Deserialize,0,0,1699229782751,0
Mixed,CapnProto,SerializeAndDeserialize,0,0,1699229782751,0
Mixed,CapnProto,Serialize,0,0,1699229783749,0
Mixed,CapnProto,Deserialize,0,0,1699229783749,0
Mixed,CapnProto,SerializeAndDeserialize,0,0,1699229783749,0
Mixed,CapnProto,Serialize,0,0,1699229784745,0
Mixed,CapnProto,Deserialize,0,0,1699229784745,0
Mixed,CapnProto,SerializeAndDeserialize,0,0,1699229784745,0
Mixed,CapnProto,Serialize,0,0,1699229785749,0
Mixed,CapnProto,Deserialize,0,0,1699229785749,0
Mixed,CapnProto,SerializeAndDeserialize,0,0,1699229785749,0
Mixed,CapnProto,Serialize,0,0,1699229786746,0
Mixed,CapnProto,Deserialize,0,0,1699229786746,0
Mixed,CapnProto,SerializeAndDeserialize,0,0,1699229786746,0
Mixed,CapnProto,Serialize,0,0,1699229787753,0
Mixed,CapnProto,Deserialize,0,0,1699229787753,0
Mixed,CapnProto,SerializeAndDeserialize,0,0,1699229787753,0
Mixed,CapnProto,Serialize,0,0,1699229788749,0
Mixed,CapnProto,Deserialize,0,0,1699229788749,0
Mixed,CapnProto,SerializeAndDeserialize,0,0,1699229788749,0
Mixed,Avro,Serialize,0,0,1699229789749,24
Mixed,Avro,Deserialize,0,0,1699229789749,11
Mixed,Avro,SerializeAndDeserialize,0,0,1699229789749,0
Mixed,Avro,Serialize,0,0,1699229790747,60
Mixed,Avro,Deserialize,0,0,1699229790747,60
Mixed,Avro,SerializeAndDeserialize,0,0,1699229790747,0
Mixed,Avro,Serialize,0,0,1699229791745,98
Mixed,Avro,Deserialize,0,0,1699229791745,99
Mixed,Avro,SerializeAndDeserialize,0,0,1699229791745,0
Mixed,Avro,Serialize,0,0,1699229792755,137
Mixed,Avro,Deserialize,0,0,1699229792755,137
Mixed,Avro,SerializeAndDeserialize,0,0,1699229792755,0
Mixed,Avro,Serialize,0,0,1699229793748,171
Mixed,Avro,Deserialize,0,0,1699229793748,171
Mixed,Avro,SerializeAndDeserialize,0,0,1699229793748,0
Mixed,Avro,Serialize,0,0,1699229794747,206
Mixed,Avro,Deserialize,0,0,1699229794747,206
Mixed,Avro,SerializeAndDeserialize,0,0,1699229794747,0
Mixed,Avro,Serialize,0,0,1699229795746,230
Mixed,Avro,Deserialize,0,0,1699229795746,228
Mixed,Avro,SerializeAndDeserialize,0,0,1699229795746,0
Mixed,Avro,Serialize,0,0,1699229796745,175
Mixed,Avro,Deserialize,0,0,1699229796745,178
Mixed,Avro,SerializeAndDeserialize,0,0,1699229796745,0
Mixed,Avro,Serialize,0,0,1699229797749,123
Mixed,Avro,Deserialize,0,0,1699229797749,119
Mixed,Avro,SerializeAndDeserialize,0,0,1699229797749,0
Mixed,Avro,Serialize,0,0,1699229798744,93
Mixed,Avro,Deserialize,0,0,1699229798744,92
Mixed,Avro,SerializeAndDeserialize,0,0,1699229798744,0
