Target,Serializer,Method,NumMessages,NumThreads,Timestamp,Requests
Mixed,MessagePack-CSharp,Serialize,0,0,1699226000995,1
Mixed,MessagePack-CSharp,Deserialize,0,0,1699226000995,1
Mixed,MessagePack-CSharp,SerializeAndDeserialize,0,0,1699226000995,1
Mixed,MessagePack-CSharp,Serialize,0,0,1699226001996,0
Mixed,MessagePack-CSharp,Deserialize,0,0,1699226001996,0
Mixed,MessagePack-CSharp,SerializeAndDeserialize,0,0,1699226001996,0
Mixed,MessagePack-CSharp,Serialize,0,0,1699226003006,0
Mixed,MessagePack-CSharp,Deserialize,0,0,1699226003006,0
Mixed,MessagePack-CSharp,SerializeAndDeserialize,0,0,1699226003006,0
Mixed,MessagePack-CSharp,Serialize,0,0,1699226003993,0
Mixed,MessagePack-CSharp,Deserialize,0,0,1699226003993,0
Mixed,MessagePack-CSharp,SerializeAndDeserialize,0,0,1699226003993,0
Mixed,MessagePack-CSharp,Serialize,0,0,1699226004995,0
Mixed,MessagePack-CSharp,Deserialize,0,0,1699226004995,0
Mixed,MessagePack-CSharp,SerializeAndDeserialize,0,0,1699226004995,0
Mixed,MessagePack-CSharp,Serialize,0,0,1699226005996,0
Mixed,MessagePack-CSharp,Deserialize,0,0,1699226005996,0
Mixed,MessagePack-CSharp,SerializeAndDeserialize,0,0,1699226005996,0
Mixed,MessagePack-CSharp,Serialize,0,0,1699226007002,0
Mixed,MessagePack-CSharp,Deserialize,0,0,1699226007002,0
Mixed,MessagePack-CSharp,SerializeAndDeserialize,0,0,1699226007002,0
Mixed,MessagePack-CSharp,Serialize,0,0,1699226008003,0
Mixed,MessagePack-CSharp,Deserialize,0,0,1699226008003,0
Mixed,MessagePack-CSharp,SerializeAndDeserialize,0,0,1699226008003,0
Mixed,MessagePack-CSharp,Serialize,0,0,1699226008996,0
Mixed,MessagePack-CSharp,Deserialize,0,0,1699226008996,0
Mixed,MessagePack-CSharp,SerializeAndDeserialize,0,0,1699226008996,0
Mixed,MessagePack-CSharp,Serialize,0,0,1699226010002,0
Mixed,MessagePack-CSharp,Deserialize,0,0,1699226010002,0
Mixed,MessagePack-CSharp,SerializeAndDeserialize,0,0,1699226010002,0
Mixed,MessagePack-CSharp,Serialize,0,0,1699226010995,0
Mixed,MessagePack-CSharp,Deserialize,0,0,1699226010995,0
Mixed,MessagePack-CSharp,SerializeAndDeserialize,0,0,1699226010995,0
Mixed,MessagePack-CSharp,Serialize,0,0,1699226012003,0
Mixed,MessagePack-CSharp,Deserialize,0,0,1699226012003,0
Mixed,MessagePack-CSharp,SerializeAndDeserialize,0,0,1699226012003,0
Mixed,MessagePack-CSharp,Serialize,0,0,1699226013005,0
Mixed,MessagePack-CSharp,Deserialize,0,0,1699226013005,0
Mixed,MessagePack-CSharp,SerializeAndDeserialize,0,0,1699226013005,0
Mixed,MessagePack-CSharp,Serialize,0,0,1699226014004,0
Mixed,MessagePack-CSharp,Deserialize,0,0,1699226014004,0
Mixed,MessagePack-CSharp,SerializeAndDeserialize,0,0,1699226014004,0
Mixed,MessagePack-CSharp,Serialize,0,0,1699226015004,0
Mixed,MessagePack-CSharp,Deserialize,0,0,1699226015004,0
Mixed,MessagePack-CSharp,SerializeAndDeserialize,0,0,1699226015004,0
Mixed,MessagePack-CSharp,Serialize,0,0,1699226015999,24
Mixed,MessagePack-CSharp,Deserialize,0,0,1699226015999,22
Mixed,MessagePack-CSharp,SerializeAndDeserialize,0,0,1699226015999,0
Mixed,MessagePack-CSharp,Serialize,0,0,1699226016996,61
Mixed,MessagePack-CSharp,Deserialize,0,0,1699226016996,60
Mixed,MessagePack-CSharp,SerializeAndDeserialize,0,0,1699226016996,0
Mixed,MessagePack-CSharp,Serialize,0,0,1699226018004,99
Mixed,MessagePack-CSharp,Deserialize,0,0,1699226018004,98
Mixed,MessagePack-CSharp,SerializeAndDeserialize,0,0,1699226018004,0
Mixed,MessagePack-CSharp,Serialize,0,0,1699226018999,134
Mixed,MessagePack-CSharp,Deserialize,0,0,1699226018999,134
Mixed,MessagePack-CSharp,SerializeAndDeserialize,0,0,1699226018999,0
Mixed,MessagePack-CSharp,Serialize,0,0,1699226020006,177
Mixed,MessagePack-CSharp,Deserialize,0,0,1699226020006,178
Mixed,MessagePack-CSharp,SerializeAndDeserialize,0,0,1699226020006,0
Mixed,MessagePack-CSharp,Serialize,0,0,1699226020997,205
Mixed,MessagePack-CSharp,Deserialize,0,0,1699226020997,205
Mixed,MessagePack-CSharp,SerializeAndDeserialize,0,0,1699226020997,0
Mixed,MessagePack-CSharp,Serialize,0,0,1699226022001,204
Mixed,MessagePack-CSharp,Deserialize,0,0,1699226022001,204
Mixed,MessagePack-CSharp,SerializeAndDeserialize,0,0,1699226022001,0
Mixed,MessagePack-CSharp,Serialize,0,0,1699226022997,213
Mixed,MessagePack-CSharp,Deserialize,0,0,1699226022997,208
Mixed,MessagePack-CSharp,SerializeAndDeserialize,0,0,1699226022997,0
Mixed,MessagePack-CSharp,Serialize,0,0,1699226024004,206
Mixed,MessagePack-CSharp,Deserialize,0,0,1699226024004,206
Mixed,MessagePack-CSharp,SerializeAndDeserialize,0,0,1699226024004,0
Mixed,MessagePack-CSharp,Serialize,0,0,1699226024997,205
Mixed,MessagePack-CSharp,Deserialize,0,0,1699226024997,201
Mixed,MessagePack-CSharp,SerializeAndDeserialize,0,0,1699226024997,1
Mixed,MessagePack-CSharp,Serialize,0,0,1699226025998,202
Mixed,MessagePack-CSharp,Deserialize,0,0,1699226025998,202
Mixed,MessagePack-CSharp,SerializeAndDeserialize,0,0,1699226025998,18
Mixed,MessagePack-CSharp,Serialize,0,0,1699226026995,203
Mixed,MessagePack-CSharp,Deserialize,0,0,1699226026995,209
Mixed,MessagePack-CSharp,SerializeAndDeserialize,0,0,1699226026995,22
Mixed,MessagePack-CSharp,Serialize,0,0,1699226028002,180
Mixed,MessagePack-CSharp,Deserialize,0,0,1699226028002,178
Mixed,MessagePack-CSharp,SerializeAndDeserialize,0,0,1699226028002,24
Mixed,MessagePack-CSharp,Serialize,0,0,1699226028996,202
Mixed,MessagePack-CSharp,Deserialize,0,0,1699226028996,201
Mixed,MessagePack-CSharp,SerializeAndDeserialize,0,0,1699226028996,24
Mixed,MessagePack-CSharp,Serialize,0,0,1699226030007,226
Mixed,MessagePack-CSharp,Deserialize,0,0,1699226030007,226
Mixed,MessagePack-CSharp,SerializeAndDeserialize,0,0,1699226030007,22
Mixed,MessagePack-CSharp,Serialize,0,0,1699226030998,200
Mixed,MessagePack-CSharp,Deserialize,0,0,1699226030998,200
Mixed,MessagePack-CSharp,SerializeAndDeserialize,0,0,1699226030998,22
Mixed,MessagePack-CSharp,Serialize,0,0,1699226031995,200
Mixed,MessagePack-CSharp,Deserialize,0,0,1699226031995,200
Mixed,MessagePack-CSharp,SerializeAndDeserialize,0,0,1699226031995,23
Mixed,MessagePack-CSharp,Serialize,0,0,1699226033004,200
Mixed,MessagePack-CSharp,Deserialize,0,0,1699226033004,200
Mixed,MessagePack-CSharp,SerializeAndDeserialize,0,0,1699226033004,23
Mixed,MessagePack-CSharp,Serialize,0,0,1699226033995,210
Mixed,MessagePack-CSharp,Deserialize,0,0,1699226033995,211
Mixed,MessagePack-CSharp,SerializeAndDeserialize,0,0,1699226033995,22
Mixed,MessagePack-CSharp,Serialize,0,0,1699226034994,213
Mixed,MessagePack-CSharp,Deserialize,0,0,1699226034994,212
Mixed,MessagePack-CSharp,SerializeAndDeserialize,0,0,1699226034994,22
Mixed,MessagePack-CSharp,Serialize,0,0,1699226036002,201
Mixed,MessagePack-CSharp,Deserialize,0,0,1699226036002,201
Mixed,MessagePack-CSharp,SerializeAndDeserialize,0,0,1699226036002,22
Mixed,MessagePack-CSharp,Serialize,0,0,1699226036996,210
Mixed,MessagePack-CSharp,Deserialize,0,0,1699226036996,209
Mixed,MessagePack-CSharp,SerializeAndDeserialize,0,0,1699226036996,0
Mixed,MessagePack-CSharp,Serialize,0,0,1699226038003,225
Mixed,MessagePack-CSharp,Deserialize,0,0,1699226038003,225
Mixed,MessagePack-CSharp,SerializeAndDeserialize,0,0,1699226038003,0
Mixed,MessagePack-CSharp,Serialize,0,0,1699226038994,177
Mixed,MessagePack-CSharp,Deserialize,0,0,1699226038994,176
Mixed,MessagePack-CSharp,SerializeAndDeserialize,0,0,1699226038994,0
Mixed,MessagePack-CSharp,Serialize,0,0,1699226040013,232
Mixed,MessagePack-CSharp,Deserialize,0,0,1699226040013,233
Mixed,MessagePack-CSharp,SerializeAndDeserialize,0,0,1699226040013,0
Mixed,MessagePack-CSharp,Serialize,0,0,1699226041003,175
Mixed,MessagePack-CSharp,Deserialize,0,0,1699226041003,177
Mixed,MessagePack-CSharp,SerializeAndDeserialize,0,0,1699226041003,0
