Target,Serializer,Method,NumMessages,NumThreads,Timestamp,Requests
Mixed,Thrift,Serialize,0,0,1699427236388,133
Mixed,Thrift,Deserialize,0,0,1699427236388,0
Mixed,Thrift,SerializeAndDeserialize,0,0,1699427236388,1
Mixed,Thrift,Serialize,0,0,1699427237394,617
Mixed,Thrift,Deserialize,0,0,1699427237394,0
Mixed,Thrift,SerializeAndDeserialize,0,0,1699427237394,0
Mixed,Thrift,Serialize,0,0,1699427238394,1519
Mixed,Thrift,Deserialize,0,0,1699427238394,0
Mixed,Thrift,SerializeAndDeserialize,0,0,1699427238394,0
Mixed,Thrift,Serialize,0,0,1699427239399,2089
Mixed,Thrift,Deserialize,0,0,1699427239399,0
Mixed,Thrift,SerializeAndDeserialize,0,0,1699427239399,0
Mixed,Thrift,Serialize,0,0,1699427240395,2110
Mixed,Thrift,Deserialize,0,0,1699427240395,0
Mixed,Thrift,SerializeAndDeserialize,0,0,1699427240395,0
Mixed,Thrift,Serialize,0,0,1699427241393,3025
Mixed,Thrift,Deserialize,0,0,1699427241393,0
Mixed,Thrift,SerializeAndDeserialize,0,0,1699427241393,0
Mixed,Thrift,Serialize,0,0,1699427242397,2884
Mixed,Thrift,Deserialize,0,0,1699427242397,0
Mixed,Thrift,SerializeAndDeserialize,0,0,1699427242397,0
Mixed,Thrift,Serialize,0,0,1699427243384,2822
Mixed,Thrift,Deserialize,0,0,1699427243384,0
Mixed,Thrift,SerializeAndDeserialize,0,0,1699427243384,0
Mixed,Thrift,Serialize,0,0,1699427244394,3051
Mixed,Thrift,Deserialize,0,0,1699427244394,0
Mixed,Thrift,SerializeAndDeserialize,0,0,1699427244394,0
Mixed,Thrift,Serialize,0,0,1699427245398,2400
Mixed,Thrift,Deserialize,0,0,1699427245398,0
Mixed,Thrift,SerializeAndDeserialize,0,0,1699427245398,0
Mixed,Thrift,Serialize,0,0,1699427246382,2905
Mixed,Thrift,Deserialize,0,0,1699427246382,0
Mixed,Thrift,SerializeAndDeserialize,0,0,1699427246382,0
Mixed,Thrift,Serialize,0,0,1699427247389,2773
Mixed,Thrift,Deserialize,0,0,1699427247389,0
Mixed,Thrift,SerializeAndDeserialize,0,0,1699427247389,0
Mixed,Thrift,Serialize,0,0,1699427248397,3178
Mixed,Thrift,Deserialize,0,0,1699427248397,0
Mixed,Thrift,SerializeAndDeserialize,0,0,1699427248397,0
Mixed,Thrift,Serialize,0,0,1699427249391,3216
Mixed,Thrift,Deserialize,0,0,1699427249391,0
Mixed,Thrift,SerializeAndDeserialize,0,0,1699427249391,0
Mixed,Thrift,Serialize,0,0,1699427250394,3206
Mixed,Thrift,Deserialize,0,0,1699427250394,0
Mixed,Thrift,SerializeAndDeserialize,0,0,1699427250394,0
Mixed,Thrift,Serialize,0,0,1699427251380,3169
Mixed,Thrift,Deserialize,0,0,1699427251380,0
Mixed,Thrift,SerializeAndDeserialize,0,0,1699427251380,0
Mixed,Thrift,Serialize,0,0,1699427252390,3184
Mixed,Thrift,Deserialize,0,0,1699427252390,0
Mixed,Thrift,SerializeAndDeserialize,0,0,1699427252390,0
Mixed,Thrift,Serialize,0,0,1699427253397,3186
Mixed,Thrift,Deserialize,0,0,1699427253397,0
Mixed,Thrift,SerializeAndDeserialize,0,0,1699427253397,0
Mixed,Thrift,Serialize,0,0,1699427254391,3164
Mixed,Thrift,Deserialize,0,0,1699427254391,0
Mixed,Thrift,SerializeAndDeserialize,0,0,1699427254391,0
Mixed,Thrift,Serialize,0,0,1699427255389,3194
Mixed,Thrift,Deserialize,0,0,1699427255389,0
Mixed,Thrift,SerializeAndDeserialize,0,0,1699427255389,0
Mixed,Thrift,Serialize,0,0,1699427256387,3194
Mixed,Thrift,Deserialize,0,0,1699427256387,0
Mixed,Thrift,SerializeAndDeserialize,0,0,1699427256387,0
Mixed,Thrift,Serialize,0,0,1699427257400,3174
Mixed,Thrift,Deserialize,0,0,1699427257400,0
Mixed,Thrift,SerializeAndDeserialize,0,0,1699427257400,0
Mixed,Thrift,Serialize,0,0,1699427258380,3175
Mixed,Thrift,Deserialize,0,0,1699427258380,0
Mixed,Thrift,SerializeAndDeserialize,0,0,1699427258380,0
Mixed,Thrift,Serialize,0,0,1699427259380,3158
Mixed,Thrift,Deserialize,0,0,1699427259380,0
Mixed,Thrift,SerializeAndDeserialize,0,0,1699427259380,0
Mixed,Thrift,Serialize,0,0,1699427260384,3192
Mixed,Thrift,Deserialize,0,0,1699427260384,0
Mixed,Thrift,SerializeAndDeserialize,0,0,1699427260384,0
Mixed,Thrift,Serialize,0,0,1699427261380,3174
Mixed,Thrift,Deserialize,0,0,1699427261380,0
Mixed,Thrift,SerializeAndDeserialize,0,0,1699427261380,0
Mixed,Thrift,Serialize,0,0,1699427262385,3163
Mixed,Thrift,Deserialize,0,0,1699427262385,0
Mixed,Thrift,SerializeAndDeserialize,0,0,1699427262385,0
Mixed,Thrift,Serialize,0,0,1699427263388,3157
Mixed,Thrift,Deserialize,0,0,1699427263388,0
Mixed,Thrift,SerializeAndDeserialize,0,0,1699427263388,0
Mixed,Thrift,Serialize,0,0,1699427264392,3209
Mixed,Thrift,Deserialize,0,0,1699427264392,0
Mixed,Thrift,SerializeAndDeserialize,0,0,1699427264392,0
Mixed,Thrift,Serialize,0,0,1699427265400,3168
Mixed,Thrift,Deserialize,0,0,1699427265400,0
Mixed,Thrift,SerializeAndDeserialize,0,0,1699427265400,0
Mixed,Thrift,Serialize,0,0,1699427266389,3162
Mixed,Thrift,Deserialize,0,0,1699427266389,0
Mixed,Thrift,SerializeAndDeserialize,0,0,1699427266389,0
Mixed,Thrift,Serialize,0,0,1699427267387,3142
Mixed,Thrift,Deserialize,0,0,1699427267387,0
Mixed,Thrift,SerializeAndDeserialize,0,0,1699427267387,0
Mixed,Thrift,Serialize,0,0,1699427268397,3165
Mixed,Thrift,Deserialize,0,0,1699427268397,0
Mixed,Thrift,SerializeAndDeserialize,0,0,1699427268397,0
Mixed,Thrift,Serialize,0,0,1699427269386,3150
Mixed,Thrift,Deserialize,0,0,1699427269386,0
Mixed,Thrift,SerializeAndDeserialize,0,0,1699427269386,0
Mixed,Thrift,Serialize,0,0,1699427270390,3186
Mixed,Thrift,Deserialize,0,0,1699427270390,0
Mixed,Thrift,SerializeAndDeserialize,0,0,1699427270390,0
Mixed,Thrift,Serialize,0,0,1699427271396,2763
Mixed,Thrift,Deserialize,0,0,1699427271396,0
Mixed,Thrift,SerializeAndDeserialize,0,0,1699427271396,0
Mixed,Thrift,Serialize,0,0,1699427272392,2797
Mixed,Thrift,Deserialize,0,0,1699427272392,0
Mixed,Thrift,SerializeAndDeserialize,0,0,1699427272392,0
Mixed,Thrift,Serialize,0,0,1699427273399,3154
Mixed,Thrift,Deserialize,0,0,1699427273399,0
Mixed,Thrift,SerializeAndDeserialize,0,0,1699427273399,0
Mixed,Thrift,Serialize,0,0,1699427274383,3189
Mixed,Thrift,Deserialize,0,0,1699427274383,0
Mixed,Thrift,SerializeAndDeserialize,0,0,1699427274383,0
Mixed,Thrift,Serialize,0,0,1699427275388,2741
Mixed,Thrift,Deserialize,0,0,1699427275388,0
Mixed,Thrift,SerializeAndDeserialize,0,0,1699427275388,0
Mixed,Thrift,Serialize,0,0,1699427276389,2645
Mixed,Thrift,Deserialize,0,0,1699427276389,0
Mixed,Thrift,SerializeAndDeserialize,0,0,1699427276389,0
